id;title;record_date;release_date;length_seconds;lyrics
1;synthesizing Soft robust;2020-12-26T09:44:49;2020-12-26T05:34:24;32820;bypassing e-business West Virginia
2;real-time;2020-12-26T11:05:29;2020-12-26T16:48:21;9099;Directives Pines applications
3;Checking Account system Hat;2020-12-26T10:51:27;2020-12-26T17:22:52;49554;GB ROI Total
4;Ergonomic;2020-12-25T22:39:19;2020-12-26T15:44:26;32458;Ergonomic Granite Ball
5;cross-platform;2020-12-26T20:50:13;2020-12-26T08:15:53;66338;Compatible
6;bus;2020-12-26T15:59:36;2020-12-26T20:29:37;12563;Consultant
7;Handcrafted Buckinghamshire circuit;2020-12-26T14:55:07;2020-12-26T22:13:38;35211;Berkshire Minnesota
8;Rubber Steel zero defect;2020-12-26T01:53:31;2020-12-26T02:19:13;87934;Lead forecast
9;hub;2020-12-26T03:46:13;2020-12-26T07:48:29;61738;Money Market Account New Hampshire
10;Agent;2020-12-26T00:38:10;2020-12-26T11:30:27;40034;Tools Technician Handcrafted Steel Bacon
